Numarul Circumscriptiei,Numarul total de alegatori,Raionul RO,Raionul RU,Localitatea/Adresa RO,Localitatea/Adresa RU,Numarul sectiei de vot,Adresa sectiei de vot
7,65197,Raionul SOROCA,Район Сорока,PARCANI,Паркань,,
7,65197,Raionul SOROCA,Район Сорока,PÎRLIŢA,Пырлица,,
7,65197,Raionul SOROCA,Район Сорока,RACOVĂŢ,Раковэц  ,,
7,65197,Raionul SOROCA,Район Сорока,REDI-CEREŞNOVĂŢ,Редь-Черешновэц,,
7,65197,Raionul SOROCA,Район Сорока,REGINA MARIA,Реджина Мария,,
7,65197,Raionul SOROCA,Район Сорока,RUBLENIŢA,Рубленица  ,,
7,65197,Raionul SOROCA,Район Сорока,SCHINENI,Скинень  ,,
7,65197,Raionul SOROCA,Район Сорока,STOICANI,Стойкань,,
7,65197,Raionul SOROCA,Район Сорока,TRIFĂUŢI,Трифэуць  ,,
7,65197,Raionul SOROCA,Район Сорока,VASILCĂU,Василкэу ,,
7,65197,Raionul SOROCA,Район Сорока,VĂRĂNCĂU,Вэрэнкэу  ,,
7,65197,Raionul SOROCA,Район Сорока,VĂDENI,Вэдень,,
7,65197,Raionul SOROCA,Район Сорока,VOLOVIŢA,Воловица  ,,
7,65197,Raionul SOROCA,Район Сорока,ZASTÎNCA,Застынка,,
8,62780,Raionul FLOREȘTI,Район Флорешть,or. FLOREȘTI,г. Флорешть,,
8,62780,Raionul FLOREȘTI,Район Флорешть,or. GHINDEȘTI,г. Гиндешть,,
8,62780,Raionul FLOREȘTI,Район Флорешть,or. MĂRCULEȘTI,г. Мэркулешть,,
8,62780,Raionul FLOREȘTI,Район Флорешть,ALEXEEVCA,Алексеевка  ,,
8,62780,Raionul FLOREȘTI,Район Флорешть,BĂHRINEȘTI,Бэхринешть,,
8,62780,Raionul FLOREȘTI,Район Флорешть,CERNIȚA,Черница  ,,
8,62780,Raionul FLOREȘTI,Район Флорешть,CIRIPCĂU,Чирипкэу  ,,
8,62780,Raionul FLOREȘTI,Район Флорешть,COȘERNIȚA,Кошерница,,
8,62780,Raionul FLOREȘTI,Район Флорешть,CUHUREȘTII DE JOS,Кухурештий де Сус,,
8,62780,Raionul FLOREȘTI,Район Флорешть,CUHUREȘTII DE SUS,Кухурештий де Жос,,
8,62780,Raionul FLOREȘTI,Район Флорешть,CUNICEA,Кунича,,
8,62780,Raionul FLOREȘTI,Район Флорешть,FRUMUȘICA,Фрумушика  ,,
8,62780,Raionul FLOREȘTI,Район Флорешть,GHINDEȘTI,Гиндешть,,
8,62780,Raionul FLOREȘTI,Район Флорешть,GURA CAMENCII,Гура Каменчий,,
8,62780,Raionul FLOREȘTI,Район Флорешть,GURA CĂINARULUI,Гура Кэинарулуй   ,,
8,62780,Raionul FLOREȘTI,Район Флорешть,ILICIOVCA,Ильичевка  ,,
8,62780,Raionul FLOREȘTI,Район Флорешть,IZVOARE,Извоаре,,
8,62780,Raionul FLOREȘTI,Район Флорешть,JAPCA,Жапка  ,,
8,62780,Raionul FLOREȘTI,Район Флорешть,LUNGA,Лунга  ,,
8,62780,Raionul FLOREȘTI,Район Флорешть,MĂRCULEȘTI,Мэркулешть ,,
8,62780,Raionul FLOREȘTI,Район Флорешть,NAPADOVA,Нападова,,
8,62780,Raionul FLOREȘTI,Район Флорешть,PRAJILA,Пражила  ,,
8,62780,Raionul FLOREȘTI,Район Флорешть,PUTINEȘTI,Путинешть,,
8,62780,Raionul FLOREȘTI,Район Флорешть,RĂDULENII VECHI,Рэдулений Векь  ,,
8,62780,Raionul FLOREȘTI,Район Флорешть,ROȘIETICI,Рошиетичь  ,,
8,62780,Raionul FLOREȘTI,Район Флорешть,SĂNĂTĂUCA,Сэнэтэука  ,,
8,62780,Raionul FLOREȘTI,Район Флорешть,SEVIROVA,Севирова  ,,
8,62780,Raionul FLOREȘTI,Район Флорешть,TEMELEUȚI,Темелеуць  ,,
8,62780,Raionul FLOREȘTI,Район Флорешть,TÎRGUL VERTIUJENI,Тыргул Вертюжень,,
8,62780,Raionul FLOREȘTI,Район Флорешть,TRIFĂNEȘTI,Трифэнешть ,,
8,62780,Raionul FLOREȘTI,Район Флорешть,VĂRVĂREUCA,Вэрвэреука,,
8,62780,Raionul FLOREȘTI,Район Флорешть,VĂSCĂUȚI,Вэскэуць  ,,
8,62780,Raionul FLOREȘTI,Район Флорешть,VERTIUJENI,Вертюжень  ,,
8,62780,Raionul FLOREȘTI,Район Флорешть,ZĂLUCENI,Зэлучень  ,,
